ID,Titre,Description,Complexité,Jours,Price_Low_MAD,Price_Avg_MAD,Price_High_MAD
US-01,Authentification & gestion utilisateurs,"JWT login/register, Google OAuth 2.0, reset mot de passe, flow invitation, profil utilisateur, rôles owner/admin/member",High,5,3000,4500,6000
US-02,Gestion multi-projets,"CRUD projets, renommage, membres, rôles par projet, isolation données",Medium,3,1800,2700,3600
US-03,Gestion des sites WordPress,"CRUD sites, multi-comptes WP, modes image, URL Pinterest, embed pin dans article",Medium,3,1800,2700,3600
US-04,Intégration Google Sheets,"Connexion service account/OAuth, lecture recettes, écriture résultats + permalink, vue Spy Sheet",Medium,3,1800,2700,3600
US-05,Moteur de génération d'articles IA,"OpenAI : réécriture recette, article HTML, SEO (titre/meta/slug/keyphrase), Pin (titre/desc/mots-clés/board), JSON WPRM, liens internes sitemap, prompts configurables",High,6,3600,5400,7200
US-06,Génération d'images Midjourney,"Discord API wrapper, /imagine, polling résultats, clic U1-U4 upscale, download & cache local, verrou par canal, wait configurable, stop interruptible",High,5,3000,4500,6000
US-07,Système de jobs asynchrones + WebSocket,"Création/tracking jobs, worker background, types articles/publisher/all-sites, stop/cancel, WebSocket logs temps réel, reconciliation stale jobs",High,5,3000,4500,6000
US-08,Publication WordPress,"XMLRPC publishing, upload image WebP, featured image + injection inline, catégories/tags, recette WPRM, Rank Math SEO, rotation multi-comptes, date publication aléatoire",High,5,3000,4500,6000
US-09,Intégration Pinterest (OAuth + API),"OAuth 2.0 Pinterest, listing boards, création pins, tracking URL pin, callback page",Medium,3,1800,2700,3600
US-10,Scheduleur de publication automatique,"Tâche background, intervalle configurable (minutes), enable/disable par projet, next/last run tracking, gestion erreurs",Medium,3,1800,2700,3600
US-11,Pin Designer — éditeur canvas Fabric.js,"Éditeur visuel 1000x1500px, texte (police/couleur/taille/graisse), zones image cover+clip, bandes décoratives, cadres (solid/dashed/dotted), panel layers, toolbar flottant, zoom CSS, undo/redo, export PNG",Very High,8,4800,7200,9600
US-12,Templates de Pin Designer,"CRUD templates, galerie, assignation projets, éléments personnalisés, canvas_width/height configurables",Medium,3,1800,2700,3600
US-13,Génération multi-sites (all-sites),"Job cross-sites, progression par site, type all_sites, vue résultats par job",Medium,2,1200,1800,2400
US-14,Intégration Meta Threads,"OAuth 2.0 Threads, config app (app_id/secret), comptes liés, création posts (texte+image), scheduling, scheduler background, cleanup médias",High,5,3000,4500,6000
US-15,Rétention et nettoyage des images,"Scheduler cleanup images /uploads, retention_days configurable, cleanup system-wide + par owner, état singleton",Low,2,1200,1800,2400
US-16,Architecture BDD & Modularisation,"Conception 20 tables, UUID PKs, relations, contraintes, 33 migrations Alembic, isolation multi-tenant, schéma prompts configurables",High,5,3000,4500,6000
US-17,Sécurité & durcissement,"Fernet encryption credentials, bcrypt passwords, rate limiting, security headers (CSP/HSTS/X-Frame), audit middleware, CORS, pipeline GitHub Actions",High,4,2400,3600,4800
US-18,Paramètres utilisateur & credentials,"Gestion clés API (OpenAI/MJ/Google), prompts IA par projet, polices custom, éléments pin custom, timer Midjourney",Medium,3,1800,2700,3600
US-19,Audit logs & Dashboard stats,"Capture audit (CREATE/UPDATE/DELETE toutes tables), masquage champs sensibles, viewer frontend, stats dashboard",Medium,2,1200,1800,2400
US-20,Infrastructure & DevOps,"Dockerfile frontend+backend, docker-compose, Railway config, variables env, CI/CD GitHub Actions security",Medium,2,1200,1800,2400
US-21,Frontend Shell & UX,"AppShell, Sidebar navigation, dark/light theme, toast notifications, guards routes protégées, design responsive",Medium,3,1800,2700,3600
US-22,Export Excel & Spy Sheet,"Export recettes en Excel (openpyxl), vue Google Sheets par projet (spy sheet)",Low,2,1200,1800,2400
SUBTOTAL,Sous-total avant buffer,,,,83,49800,74700,99600
BUFFER,Buffer 20% (imprévus + itérations),,,,17,10200,15300,20400
TOTAL,TOTAL FINAL,,,,100,60000,90000,120000
