"Title","Description","Complexity","Days","Price_Low_MAD","Price_Avg_MAD","Price_High_MAD"
"Authentification email + JWT","Inscription, connexion et session sécurisée avec JWT pour accéder à l'application","Medium","6","3600","5400","7200"
"Google OAuth","Connexion via Google avec callback et création/liaison de compte","Medium","5","3000","4500","6000"
"Setup password & reset password","Mise en place et réinitialisation de mot de passe via email sécurisé","Medium","5","3000","4500","6000"
"Administration utilisateurs","Gestion des utilisateurs et invitations côté admin","Medium","6","3600","5400","7200"
"Profil utilisateur & sécurité compte","Edition du profil, changement de mot de passe et états de sécurité","Low","3","1800","2700","3600"
"CRUD projets + duplication","Création, édition, suppression et duplication des projets","Medium","5","3000","4500","6000"
"Membres projet & RBAC","Gestion des rôles membres et contrôle d'accès par projet","High","6","3600","5400","7200"
"Gestion des sites","Configuration complète des sites de publication","Medium","6","3600","5400","7200"
"Identifiants chiffrés","Stockage sécurisé des credentials globaux et projet","Medium","5","3000","4500","6000"
"Gestion des prompts IA","Paramétrage des prompts système/utilisateur avec reset","Medium","4","2400","3600","4800"
"CRUD recettes & métadonnées","Gestion complète des recettes et champs SEO/Pin","Medium","6","3600","5400","7200"
"Job génération article (single-site)","Lancement et suivi des jobs de génération pour un site","Medium","6","3600","5400","7200"
"Job génération multi-sites","Génération partagée sur tous les sites d'un projet","High","7","4200","6300","8400"
"Historique jobs + logs temps réel","Suivi opérationnel des jobs avec logs live","High","6","3600","5400","7200"
"Pipeline IA OpenAI","Génération structurée article/JSON avec règles métier","High","9","5400","8100","10800"
"Liens internes via sitemap","Enrichissement SEO par extraction de liens internes","Low","3","1800","2700","3600"
"Pipeline Midjourney","Génération d'images via Discord/Midjourney avec polling","High","9","5400","8100","10800"
"Cache/normalisation des images","Stabilisation des URLs et cache local des assets","Medium","4","2400","3600","4800"
"Publication WordPress unitaire","Publication d'article/medias/SEO vers WordPress","High","7","4200","6300","8400"
"Publication batch & streaming","Publication en masse avec retours de progression","High","6","3600","5400","7200"
"Planification publication","Scheduler de publication avec déclenchement immédiat","High","7","4200","6300","8400"
"Synchronisation Google Sheets","Ecriture des permaliens dans Google Sheets","Low","3","1800","2700","3600"
"Pinterest OAuth & boards","Connexion Pinterest et chargement des boards","Medium","4","2400","3600","4800"
"Publication Pinterest single/bulk","Création et envoi d'épingles depuis recettes","Medium","6","3600","5400","7200"
"Pin Designer runtime","Edition/application de design sur recettes et pages","High","11","6600","9900","13200"
"Template Designer avancé","Conception de templates avec règles d'édition avancées","High","11","6600","9900","13200"
"Gestion templates (CRUD/clone/assign)","Cycle de vie des templates et affectation par projet","Medium","6","3600","5400","7200"
"Import/Export templates JSON","Partage et réimport de templates éditables","Medium","4","2400","3600","4800"
"Polices personnalisées","Gestion centralisée des fonts utilisateur","Medium","4","2400","3600","4800"
"Bibliothèque Elements réutilisables","Composants graphiques réutilisables dans le designer","Medium","6","3600","5400","7200"
"Génération image Pin + upload","Rendu final des pins et upload vers médias","Medium","6","3600","5400","7200"
"Pinterest Gallery + Worksheet","Vue galerie et mapping colonnes/tableau de travail","High","8","4800","7200","9600"
"Spy Sheet","Tableur interne pour manipulation de données","High","7","4200","6300","8400"
"Threads: projets & comptes","Gestion des projets/comptes Threads avec OAuth","High","7","4200","6300","8400"
"Threads: posts & planification","Création, planification et publication de posts Threads","High","8","4800","7200","9600"
"Audit logs","Traçabilité des actions sensibles","Medium","4","2400","3600","4800"
"Nettoyage automatique médias","Rétention images/médias et état système","Medium","5","3000","4500","6000"
"Dashboard & analytics","KPI globaux et navigation historique","Medium","4","2400","3600","4800"
"UI shell responsive","Layout, sidebar, header, responsive mobile","Medium","6","3600","5400","7200"
"Sécurité applicative","Durcissement API et politiques de sécurité","High","6","3600","5400","7200"
"DevOps & migrations","Dockerisation, migrations Alembic et configuration env","Medium","5","3000","4500","6000"
"QA, recette et stabilisation","Tests manuels, correctifs régression et préparation livraison","High","15","9000","13500","18000"
"TOTAL","Somme de toutes les user stories","-","257","154200","231300","308400"
