Feuille_2_Estimation,,,,,
,,,,,
Synthèse par épopée (efforts),,,,,
Epopee,Description_synthese,Heures,,,
Authentification,Inscription connexion Google setup-password profil,40,,,
Utilisateurs,Administration comptes invitations,20,,,
Projets,CRUD duplication,22,,,
Membres et accès,Membres projet + RBAC,32,,,
Identifiants,Clés projet/utilisateur chiffrement,28,,,
Prompts IA,Édition prompts génération,20,,,
Sites,Configuration WP Sheets Pinterest uploads,34,,,
Recettes,CRUD publication article unitaire,38,,,
Jobs,Fichiers génération publisher logs WebSocket arrêt,72,,,
Génération IA OpenAI,Pipeline texte sitemap liens internes,55,,,
Midjourney Discord,Images lock global cache disque,48,,,
Multi-sites,Génération entrée partagée multi sites,35,,,
Planification et lots,Scheduler publication batch start-now,46,,,
WordPress et Sheets,Publication multi-compte permaliens feuilles,52,,,
Pinterest,OAuth épingles boards,48,,,
Pin designer,Modèles canvas génération bulk,90,,,
Export et import,Excel export import boards,22,,,
Polices et rétention,Polices personnalisées nettoyage images,24,,,
Fiabilité et sécurité,Jobs stale headers CORS,14,,,
Tableau de bord et interface,Stats navigation thème,35,,,
Légal,CGU confidentialité,4,,,
Threads,Projets comptes posts planificateur médias,103,,,
Infrastructure,Docker configuration déploiement,12,,,
QA et finitions,Recette corrections UX,45,,,
TOTAL_GENERAL,,939,,,
,,,,,
Scénarios de prix (MAD / DH marocains),,,,,
Scenario,Hypothese,Heures_retenues,Taux_DH_h,Montant_MAD,Notes
Bas,Scope réduit ou réutilisation forte (référence),650,300,195000,Hors APIs externes et hébergement
Réaliste,Développement équivalent au périmètre actuel du dépôt,939,380,356820,TJM type freelance expérimenté
Haut,Senior ou petite agence,939,500,469500,Avec coordination et documentation renforcée
Forfait cle en main,Total heures + marge risque 15 % + 2 cycles recette,1080,400,432000,Arrondi contrat ~430000–435000
,,,,,
Rappel hors devis,,,,,
Poste,Detail,,,,
Non inclus,Coûts OpenAI Midjourney hébergement noms de domaine,,,,
À préciser,Nombre de tours de modifications après livraison,,,,
Option,Maintenance mensuelle forfaitaire ou au temps passé,,,,
